Entity,Project,PWS ID,County,Estimated Loan Amount,Est. LSL Related Costs,Loan Type,Estimated Award Date,Rate,District Office
Addyston,Sekitan Avenue Watermain and LSL Replacement,OH3100012,Hamilton,"$1,345,942.00","$2 81,250.00",Construction,Jun-26,SML/LSL PF,SWDO
Akron,Lead Service Line Replacement Program 2025,OH7700011,Summit,"$24,000,000.00","$24,000,000.00",Construction,Jul-25,LSL PF,NEDO
Akron,Lead Service Line Replacement Program 2026,OH7700011,Summit,"$10,000,000.00","$10,000,000.00",Construction,Apr-26,LSL PF,NEDO
Aqua Ohio Inc.,Ashtabula Lead & GRR Service Line Replacement 2026,OH0400711,Ashtabula,"$5,000,000.00","$5 ,000,000.00",Construction,May-26,LSL PF,NEDO
Aqua Ohio Inc.,Marion Lead Service Line Replacement 2026,OH5100414,Marion,"$5,000,000.00","$5 ,000,000.00",Construction,May-26,LSL PF,NWDO
Aqua Ohio Inc.,Struthers Lead and GRR Service Line Replacement 2026,OH5001611,Mahoning,"$5,000,000.00","$5 ,000,000.00",Construction,May-26,LSL PF,NEDO
Aqua Ohio Inc.,Tiffin Lead Service Line Replacement 2026,OH7400614,Seneca,"$5,000,000.00","$5 ,000,000.00",Construction,May-26,LSL PF,NWDO
Bainbridge,Waterline Replacement Project,OH7100012,Ross,"$4,975,000.00","$9 66,725.00",Construction,Dec-25,DIS/LSL PF,SEDO
Bowerston,Distribution System and Meter Replacement,OH3400112,Harrison,"$1,000,000.00","$3 29,388.00",Construction,Jul-25,SML/LSL PF,SEDO
Bradford,Lead Service Line Replacement,OH1900212,Miami,"$800,000.00","$8 00,000.00",Construction,Feb-26,LSL PF,SWDO
Cambridge,Lead Service Line Replacement - Phase 2,OH3000111,Guernsey,"$499,960.00","$4 99,960.00",Construction,Aug-25,LSL PF,SEDO
Cincinnati,Baker Water Main Replacement,OH3102612,Hamilton,"$1,524,764.00","$1 35,000.00",Construction,Feb-26,STD/LSL PF,SWDO
Cincinnati,Bayard/Victoria Water Main and LSL Replacement,OH3102612,Hamilton,"$3,366,043.00","$4 42,062.00",Construction,Oct-25,STD/LSL PF,SWDO
Cincinnati,Branch Only - Fairmount LSL,OH3102612,Hamilton,"$600,000.00","$6 00,000.00",Construction,Jan-26,LSL PF,SWDO
Cincinnati,"Branch Only- Jonathan, Ruth, Woodburn LSL",OH3102612,Hamilton,"$1,100,000.00","$1 ,100,000.00",Construction,Oct-25,LSL PF,SWDO
Cincinnati,Fire Flow 23 Water Main Replacement,OH3102612,Hamilton,"$3,557,872.00","$9 35,000.00",Construction,Dec-25,STD/LSL PF,SWDO
Cincinnati,Harrison Cora - Fairmount LSL,OH3102612,Hamilton,"$570,000.00","$5 70,000.00",Construction,Mar-26,LSL PF,SWDO
Cincinnati,Kling Ave LSL Replacement,OH3102612,Hamilton,"$595,000.00","$5 95,000.00",Construction,Jan-26,LSL PF,SWDO
Cincinnati,Lower & East Price Hill Private LSL Replacement,OH3102612,Hamilton,"$2,710,000.00","$2 ,710,000.00",Construction,Mar-26,LSL PF,SWDO
Cincinnati,Lyon - Wheeler Area Water Main Replacement,OH3102612,Hamilton,"$3,101,870.00","$1 ,155,000.00",Construction,Dec-25,STD/LSL PF,SWDO
Cincinnati,McHenry - Wooster Area Water Main Replacement,OH3102612,Hamilton,"$5,200,676.00","$5 35,000.00",Construction,Dec-25,STD/LSL PF,SWDO
Cincinnati,Monastery - Mt. Adams Water Main Replacement,OH3102612,Hamilton,"$4,999,139.00","$1 ,070,000.00",Construction,Dec-25,STD/LSL PF,SWDO
Cincinnati,Mt Hope/Warsaw Water Main and LSL Replacement,OH3102612,Hamilton,"$4,140,000.00","$1 ,152,062.00",Construction,Jan-26,STD/LSL PF,SWDO
Cincinnati,Plum/Court Water Main and LSL Replacement,OH3102612,Hamilton,"$4,761,000.00","$3 03,000.00",Construction,Feb-26,STD/LSL PF,SWDO
